rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1,211000,Fashion & Retail,,74.0,France,,,Fashion & Retail,France,,False,U,M,3/5/1949 0:00,Arnault,Bernard,,4/4/2023 5:01,,,1949.0,3.0,5.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
2,180000,Automotive,,51.0,United States,,,Automotive,United States,,True,D,M,6/28/1971 0:00,Musk,Elon,,4/4/2023 5:01,Texas,South,1971.0,6.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
3,114000,Technology,,59.0,United States,,,Technology,United States,,True,D,M,1/12/1964 0:00,Bezos,Jeff,,4/4/2023 5:01,Washington,West,1964.0,1.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
4,107000,Technology,,78.0,United States,,,Technology,United States,,True,U,M,8/17/1944 0:00,Ellison,Larry,,4/4/2023 5:01,Hawaii,West,1944.0,8.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
5,106000,Finance & Investments,,92.0,United States,,,Finance & Investments,United States,,True,D,M,8/30/1930 0:00,Buffett,Warren,,4/4/2023 5:01,Nebraska,Midwest,1930.0,8.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
6,104000,Technology,,67.0,United States,,,Technology,United States,,True,D,M,10/28/1955 0:00,Gates,Bill,,4/4/2023 5:01,Washington,West,1955.0,10.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
7,94500,Media & Entertainment,,81.0,United States,,,Media & Entertainment,United States,,True,U,M,2/14/1942 0:00,Bloomberg,Michael,,4/4/2023 5:01,New York,Northeast,1942.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
8,93000,Telecom,,83.0,Mexico,,,Telecom,Mexico,,True,U,M,1/28/1940 0:00,Slim Helu,Carlos,,4/4/2023 5:01,,,1940.0,1.0,28.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
9,83400,Diversified,,65.0,India,,,Diversified,India,,False,D,M,4/19/1957 0:00,Ambani,Mukesh,,4/4/2023 5:01,,,1957.0,4.0,19.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
10,80700,Technology,,67.0,United States,,,Technology,United States,,True,D,M,3/24/1956 0:00,Ballmer,Steve,,4/4/2023 5:01,Washington,West,1956.0,3.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
11,80500,Fashion & Retail,,69.0,France,,,Fashion & Retail,France,,False,U,F,7/10/1953 0:00,Bettencourt Meyers,Francoise,,4/4/2023 5:01,,,1953.0,7.0,10.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
12,79200,Technology,,50.0,United States,,,Technology,United States,,True,D,M,3/26/1973 0:00,Page,Larry,,4/4/2023 5:01,California,West,1973.0,3.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
13,77300,Fashion & Retail,,87.0,Spain,,,Fashion & Retail,Spain,,True,U,M,3/28/1936 0:00,Ortega,Amancio,,4/4/2023 5:01,,,1936.0,3.0,28.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
14,76000,Technology,,49.0,United States,,,Technology,United States,,True,D,M,8/21/1973 0:00,Brin,Sergey,,4/4/2023 5:01,California,West,1973.0,8.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
15,68000,Food & Beverage,,68.0,China,,,Food & Beverage,China,,True,U,M,12/1/1954 0:00,Zhong,Shanshan,,4/4/2023 5:01,,,1954.0,12.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
16,64400,Technology,,38.0,United States,,,Technology,United States,,True,D,M,5/14/1984 0:00,Zuckerberg,Mark,,4/4/2023 5:01,California,West,1984.0,5.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
17,59000,Diversified,,87.0,United States,,,Diversified,United States,,False,D,M,11/1/1935 0:00,Koch,Charles,,4/4/2023 5:01,Kansas,Midwest,1935.0,11.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
17,59000,Diversified,,60.0,United States,,,Diversified,United States,,False,D,F,4/12/1962 0:00,Koch,Julia,,4/4/2023 5:01,New York,Northeast,1962.0,4.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
19,58800,Fashion & Retail,,74.0,United States,,,Fashion & Retail,United States,,False,D,M,6/7/1948 0:00,Walton,Jim,,4/4/2023 5:01,Arkansas,South,1948.0,6.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
20,57600,Fashion & Retail,,78.0,United States,,,Fashion & Retail,United States,,False,D,M,10/27/1944 0:00,Walton,Rob,,4/4/2023 5:01,Arkansas,South,1944.0,10.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
21,56700,Fashion & Retail,,73.0,United States,,,Fashion & Retail,United States,,False,D,F,10/7/1949 0:00,Walton,Alice,,4/4/2023 5:01,Texas,South,1949.0,10.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
22,54400,Media & Entertainment,,65.0,Canada,,,Media & Entertainment,Canada,,False,U,M,6/12/1957 0:00,Thomson,David,,4/4/2023 5:01,,,1957.0,6.0,12.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
23,50100,Technology,,58.0,United States,,,Technology,United States,,True,D,M,2/23/1965 0:00,Dell,Michael,,4/4/2023 5:01,Texas,South,1965.0,2.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
24,47200,Diversified,,60.0,India,,,Diversified,India,,True,D,M,6/24/1962 0:00,Adani,Gautam,,4/4/2023 5:01,,,1962.0,6.0,24.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
25,45100,Fashion & Retail,,85.0,United States,,,Fashion & Retail,United States,,True,D,M,2/24/1938 0:00,Knight,Phil,,4/4/2023 5:01,Oregon,West,1938.0,2.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
26,45000,Technology,,39.0,China,,,Technology,China,,True,D,M,1/1/1984 0:00,Zhang,Yiming,,4/4/2023 5:01,,,1984.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
27,42900,Fashion & Retail,,83.0,Germany,,,Fashion & Retail,Germany,,False,D,M,9/24/1939 0:00,Schwarz,Dieter,,4/4/2023 5:01,,,1939.0,9.0,24.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
28,40100,Fashion & Retail,,86.0,France,,,Fashion & Retail,France,,True,D,M,8/21/1936 0:00,Pinault,François,,4/4/2023 5:01,,,1936.0,8.0,21.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
29,39100,Logistics,,85.0,Switzerland,,,Logistics,Germany,,False,U,M,6/2/1937 0:00,Kuehne,Klaus-Michael,,4/4/2023 5:01,,,1937.0,6.0,2.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
30,38900,Food & Beverage,,58.0,Belgium,,,Food & Beverage,Italy,,False,U,M,9/21/1964 0:00,Ferrero,Giovanni,,4/4/2023 5:01,,,1964.0,9.0,21.0,117.11,1.4,529606710418.0,79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936
31,38300,Food & Beverage,,83.0,United States,,,Food & Beverage,United States,,False,U,F,10/10/1939 0:00,Mars,Jacqueline,,4/4/2023 5:01,Virginia,South,1939.0,10.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
31,38300,Food & Beverage,,87.0,United States,,,Food & Beverage,United States,,False,U,M,10/15/1935 0:00,Mars,John,,4/4/2023 5:01,Wyoming,South,1935.0,10.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
33,38000,Diversified,,94.0,Hong Kong,,,Diversified,Hong Kong,,True,U,M,6/13/1928 0:00,Li,Ka-shing,,4/4/2023 5:01,,,1928.0,6.0,13.0,,,,,,,,,,,
34,35300,Technology,,51.0,China,,,Technology,China,,True,D,M,10/29/1971 0:00,Ma,Huateng,,4/4/2023 5:01,,,1971.0,10.0,29.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
35,35000,Gambling & Casinos,,77.0,United States,,,Gambling & Casinos,United States,,False,U,F,10/10/1945 0:00,Adelson,Miriam,,4/4/2023 5:01,Nevada,West,1945.0,10.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
35,35000,Finance & Investments,,54.0,United States,,,Finance & Investments,United States,,True,U,M,10/15/1968 0:00,Griffin,Ken,,4/4/2023 5:01,Florida,South,1968.0,10.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
